ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
7.1,204,2079,7,368,564,10,86,2,0
3.7,129,1863,6,333,592,15,56,4,0
8.1,224,1990,9,333,418,16,66,3,0
8.3,214,2201,8,356,363,18,100,4,0
9.1,181,1797,6,310,398,11,31,4,0
5.6,188,2874,7,326,280,8,54,2,0
10.2,248,2874,7,393,283,13,84,2,0
8.6,203,1367,4,303,474,12,62,4,0
7.1,118,1428,7,268,389,12,53,3,0
11.2,227,2548,9,404,563,17,71,4,0
7.4,165,3245,7,326,425,15,78,3,0
8.0,218,1876,8,333,364,14,76,4,0
7.1,156,1873,3,282,347,15,79,3,0
7.1,150,2733,6,299,379,19,76,4,0
7.5,205,2838,5,333,444,13,70,4,0
6.3,186,4106,9,364,516,11,75,4,0
7.1,211,3098,10,333,315,20,56,4,0
9.2,273,2404,6,398,477,13,71,4,0
9.0,279,1946,6,333,431,12,63,2,0
7.4,214,2563,4,335,469,12,62,2,0
7.1,227,2230,10,333,554,16,45,4,0
6.7,168,3094,5,310,523,17,77,3,0
7.1,215,1710,5,326,436,14,59,5,0
3.9,196,2116,6,333,444,16,90,4,0
5.4,140,1726,10,328,472,11,56,4,0
6.5,198,2121,8,323,413,14,79,5,0
3.4,207,3342,8,384,441,13,30,4,0
7.1,145,1322,7,304,298,12,49,4,0
7.1,266,2636,7,395,364,10,53,3,0
7.1,148,1519,9,307,563,16,52,6,0
7.2,209,1519,5,338,342,7,71,5,0
9.8,190,1967,6,333,452,16,47,2,0
10.4,117,2232,8,307,412,12,65,5,0
7.4,235,3255,6,387,411,10,44,3,0
7.1,232,1478,5,333,383,12,86,5,0
5.1,191,1962,6,323,441,10,49,3,0
3.6,183,2475,5,286,456,9,73,3,0
5.6,304,1728,6,333,399,12,81,2,0
7.1,143,1994,5,333,427,22,53,2,0
9.3,198,2468,6,328,396,16,30,4,0
7.1,233,1170,4,309,349,18,42,3,0
5.3,194,1665,7,316,335,10,59,4,0
7.1,238,2878,6,385,332,11,66,5,0
9.9,202,997,6,337,333,23,71,4,0
4.8,183,2156,4,333,403,18,66,4,0
5.7,216,3560,7,333,504,16,77,4,0
7.0,209,1057,4,315,391,13,87,3,0
10.7,173,1575,5,307,323,10,78,3,0
7.1,129,3441,6,304,470,18,72,4,0
8.8,200,2153,4,317,404,13,47,3,0
7.1,168,2749,7,299,383,16,75,3,0
7.8,100,1201,5,247,605,9,66,2,0
6.7,145,1987,4,288,545,10,71,3,0
9.1,211,1192,7,339,527,18,47,3,0
10.6,181,2178,6,340,456,16,34,3,0
7.5,260,3061,9,333,404,15,66,4,0
8.5,238,2877,8,381,481,6,39,3,0
5.0,190,2432,7,324,405,8,99,4,0
7.1,157,1696,8,300,360,12,71,4,0
7.1,155,2055,8,333,290,16,59,4,0
3.9,233,3214,6,348,269,9,63,3,0
6.4,213,2096,5,327,369,13,17,3,0
7.1,229,3572,8,384,296,16,66,3,0
8.7,195,2465,8,333,398,12,48,4,0
8.1,127,3265,6,333,416,11,78,4,0
6.2,212,2181,7,333,362,14,63,5,0
5.1,238,3487,8,374,669,13,76,5,0
7.1,103,2742,8,333,485,11,67,4,0
7.1,211,1283,4,326,333,16,49,3,0
7.3,179,2496,5,349,501,17,50,3,0
7.2,183,674,3,277,428,9,90,3,0
5.7,116,3322,7,297,504,9,48,4,0
6.2,130,1946,7,300,556,14,57,5,0
8.7,242,2298,7,333,352,18,69,3,0
7.1,219,1485,5,344,425,15,49,4,0
6.9,211,2565,6,333,383,13,90,5,0
3.5,158,2302,6,286,307,9,79,3,0
3.7,163,3796,6,326,467,14,50,3,0
6.5,176,2446,5,314,477,16,57,2,0
7.3,217,3190,9,376,425,8,69,3,0
1.8,233,2868,7,333,410,15,54,5,0
5.5,168,1253,7,333,443,18,66,3,0
7.4,204,956,6,311,504,11,81,3,0
6.0,258,2726,7,383,514,12,82,2,0
6.4,133,2382,5,266,573,9,95,4,0
6.2,195,1311,7,333,417,7,70,3,0
6.8,232,2715,7,350,465,13,64,4,0
9.9,199,2147,6,329,430,15,59,3,0
10.2,300,1265,6,398,487,9,67,5,0
8.7,206,2860,6,377,506,13,42,2,0
7.1,197,1715,7,329,575,11,69,4,0
7.1,199,2972,6,357,420,9,55,3,0
6.1,237,2041,8,333,291,19,93,3,0
9.0,253,2796,6,373,588,16,59,2,0
7.0,203,1160,5,304,551,9,55,3,0
6.1,197,2668,7,329,548,15,41,5,0
7.1,220,2387,6,341,333,10,90,4,0
